PRESIDENCIAL | EUROPA - GRECIA	329	47	36
PRESIDENCIAL | EUROPA - HOLANDA	2550	959	892
PRESIDENCIAL | EUROPA - HUNGRÍA	322	109	101
PRESIDENCIAL | EUROPA - IRLANDA	331	93	85
PRESIDENCIAL | EUROPA - ITALIA	123188	61037	48014
PRESIDENCIAL | EUROPA - MALTA	37	17	17
PRESIDENCIAL | EUROPA - NORUEGA	534	155	143
PRESIDENCIAL | EUROPA - POLONIA	409	106	97
PRESIDENCIAL | EUROPA - PORTUGAL	694	241	221
PRESIDENCIAL | EUROPA - PRINCIPADO DE ANDORRA	247	130	80
PRESIDENCIAL | EUROPA - REPÚBLICA CHECA	279	118	107
PRESIDENCIAL | EUROPA - RUMANÍA	145	50	45
PRESIDENCIAL | EUROPA - RUSIA	636	166	136
PRESIDENCIAL | EUROPA - SUECIA	4107	1321	1115
PRESIDENCIAL | EUROPA - SUIZA	9366	2688	2247
PRESIDENCIAL | ICA - CHINCHA	7669	5952	4883
PRESIDENCIAL | ICA - NASCA	63028	49337	40540
PRESIDENCIAL | ICA - PALPA	12833	9976	7982
PRESIDENCIAL | ICA - PISCO	124311	101920	82212
PRESIDENCIAL | JUNÍN - CHANCHAMAYO	137887	95742	72552
PRESIDENCIAL | JUNÍN - CHUPACA	54627	41653	33617
PRESIDENCIAL | JUNÍN - CONCEPCIÓN	52075	36587	28377
PRESIDENCIAL | JUNÍN - HUANCAYO	465147	361855	310632
PRESIDENCIAL | JUNÍN - JAUJA	73635	55143	44515
PRESIDENCIAL | JUNÍN - JUNÍN	18466	12728	9860
PRESIDENCIAL | JUNÍN - SATIPO	154832	102756	74631
PRESIDENCIAL | JUNÍN - TARMA	75751	57607	43768
PRESIDENCIAL | JUNÍN - YAULI	30080	21539	17893
PRESIDENCIAL | LA LIBERTAD - ASCOPE	99625	78341	61222
PRESIDENCIAL | LA LIBERTAD - BOLÍVAR	12857	6095	4059
PRESIDENCIAL | LA LIBERTAD - CHEPÉN	70797	54617	42706
PRESIDENCIAL | LA LIBERTAD - GRAN CHIMÚ	23674	15465	10631
PRESIDENCIAL | LA LIBERTAD - JULCÁN	26465	16863	11611
PRESIDENCIAL | LA LIBERTAD - OTUZCO	73980	50277	34606
PRESIDENCIAL | LA LIBERTAD - PACASMAYO	85493	66335	51364
PRESIDENCIAL | LA LIBERTAD - PATAZ	62037	36425	23638
PRESIDENCIAL | LA LIBERTAD - SANTIAGO DE CHUCO	43386	28092	19653
PRESIDENCIAL | LA LIBERTAD - SÁNCHEZ CARRIÓN	123306	82009	56186
PRESIDENCIAL | LA LIBERTAD - TRUJILLO	847194	664989	566905
PRESIDENCIAL | LA LIBERTAD - VIRÚ	83877	67086	50734
PRESIDENCIAL | LAMBAYEQUE - CHICLAYO	705206	550824	460288
PRESIDENCIAL | LAMBAYEQUE - FERREÑAFE	87330	61359	47609
PRESIDENCIAL | LAMBAYEQUE - LAMBAYEQUE	258814	205680	159316
PRESIDENCIAL | LIMA - BARRANCA	122646	94920	76513
PRESIDENCIAL | LIMA - CAJATAMBO	6045	3428	2518
PRESIDENCIAL | LIMA - CANTA	12822	10041	7842
PRESIDENCIAL | LIMA - CAÑETE	194907	162407	134642
PRESIDENCIAL | LIMA - HUARAL	162781	130405	105797
PRESIDENCIAL | LIMA - HUAROCHIRÍ	96193	71656	59663
PRESIDENCIAL | LIMA - HUAURA	192302	150569	124397
PRESIDENCIAL | LIMA - LIMA	6167907	4956982	4389280
PRESIDENCIAL | LIMA - OYÓN	13169	9189	7067
PRESIDENCIAL | LIMA - YAUYOS	27608	16083	12831
PRESIDENCIAL | LORETO - ALTO AMAZONAS	10375	6855	4467
PRESIDENCIAL | LORETO - MAYNAS	34253	23897	19945
PRESIDENCIAL | OCEANÍA - AUSTRALIA	7077	2381	2141
PRESIDENCIAL | OCEANÍA - NUEVA ZELANDA	841	251	229
PRESIDENCIAL | PIURA - AYABACA	94268	41829	31467
PRESIDENCIAL | PIURA - HUANCABAMBA	71765	39813	30057
PRESIDENCIAL | PIURA - MORROPÓN	132977	96972	71275
PRESIDENCIAL | PIURA - PAITA	96973	77435	58882
PRESIDENCIAL | PIURA - PIURA	427579	333547	256431
PRESIDENCIAL | PIURA - SECHURA	55626	44199	34488
PRESIDENCIAL | PIURA - SULLANA	258382	200362	150588
PRESIDENCIAL | PIURA - TALARA	113041	81604	62978
PRESIDENCIAL | PUNO - AZÁNGARO	95097	76896	65008
PRESIDENCIAL | PUNO - CARABAYA	44604	32681	26665
PRESIDENCIAL | PUNO - CHUCUITO	53077	40213	32698
PRESIDENCIAL | PUNO - EL COLLAO	47320	36723	29882
PRESIDENCIAL | PUNO - HUANCANÉ	53145	42006	34058
PRESIDENCIAL | PUNO - LAMPA	38326	31506	27153
PRESIDENCIAL | PUNO - MELGAR	54808	42635	36471
PRESIDENCIAL | PUNO - MOHO	19146	13033	10377
PRESIDENCIAL | PUNO - PUNO	171259	139502	121319
PRESIDENCIAL | PUNO - SAN ANTONIO DE PUTINA	23362	19004	16299
PRESIDENCIAL | PUNO - SAN ROMÁN	225413	190855	169337
PRESIDENCIAL | PUNO - SANDIA	42422	28930	23071
PRESIDENCIAL | PUNO - YUNGUYO	31603	22207	16185
PRESIDENCIAL | SAN MARTÍN - BELLAVISTA	41290	26582	18846
PRESIDENCIAL | SAN MARTÍN - EL DORADO	24869	17877	11826
PRESIDENCIAL | SAN MARTÍN - HUALLAGA	24454	16317	10926
PRESIDENCIAL | SAN MARTÍN - LAMAS	61778	45443	29923
